results,wind,athlete,birth_year,nationality,race,place,venue,date,rs
9.93,+1.0,Justin GATLIN,82,USA,F1,1,"Stadio Olimpico, Roma (ITA)",02.06,1231
9.94,0.0,Justin GATLIN,82,USA,F,1,"Shanghai Stadium, Shanghai (CHN)",14.05,1227
9.94,+1.0,Ameer WEBB,91,USA,F1,2,"Stadio Olimpico, Roma (ITA)",02.06,1227
9.94,+0.4,Asafa POWELL,82,JAM,F,1,"Letzigrund, Zürich (SUI)",01.09,1227
9.96,+0.3,Jimmy VICAUT,92,FRA,H2,1,"Olympic Stadium, London (GBR)",22.07,1220
9.96,+0.5,Asafa POWELL,82,JAM,F,1,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1220
9.96,-0.1,Ben Youssef MEITÉ,86,CIV,F,1,Paris (FRA),27.08,1220
9.99,+1.0,Jimmy VICAUT,92,FRA,F1,3,"Stadio Olimpico, Roma (ITA)",02.06,1210
9.99,+0.4,Akani SIMBINE,93,RSA,F,2,"Letzigrund, Zürich (SUI)",01.09,1210
9.99,+0.4,Ben Youssef MEITÉ,86,CIV,F,3,"Letzigrund, Zürich (SUI)",01.09,1210
10.00,-0.1,Akani SIMBINE,93,RSA,F,2,Paris (FRA),27.08,1206
10.01,+0.5,Ben Youssef MEITÉ,86,CIV,F,2,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1203
10.01,-0.1,Churandy MARTINA,84,NED,F,3,Paris (FRA),27.08,1203
10.02,+0.4,Jimmy VICAUT,92,FRA,F,1,"Olympic Stadium, London (GBR)",22.07,1199
10.05,+0.3,Julian FORTE,93,JAM,H2,2,"Olympic Stadium, London (GBR)",22.07,1189
10.05,+0.5,Joel FEARON,88,GBR,F,3,"Stade Olympique de la Pontaise, Lausanne (SUI)",25.08,1189
10.05,-0.1,Joel FEARON,88,GBR,F,4,Paris (FRA),27.08,1189
10.07,0.0,Femi OGUNODE,91,QAT,F,2,"Shanghai Stadium, Shanghai (CHN)",14.05,1182
10.07,+0.6,Andre DE GRASSE,94,CAN,F,1,"Bislett Stadion, Oslo (NOR)",09.06,1182
10.07,+0.4,Isiah YOUNG,90,USA,F,2,"Olympic Stadium, London (GBR)",22.07,1182
10.08,+0.3,Churandy MARTINA,84,NED,H2,3,"Olympic Stadium, London (GBR)",22.07,1179
10.09,+1.0,Femi OGUNODE,91,QAT,F1,4,"Stadio Olimpico, Roma (ITA)",02.06,1176
10.09,+0.6,Michael RODGERS,85,USA,F,2,"Bislett Stadion, Oslo (NOR)",09.06,1176
10.10,0.0,Michael RODGERS,85,USA,F,3,"Shanghai Stadium, Shanghai (CHN)",14.05,1172
10.10,+0.4,Churandy MARTINA,84,NED,F,3,"Olympic Stadium, London (GBR)",22.07,1172
10.10,+0.4,Kim COLLINS,76,SKN,F,4,"Letzigrund, Zürich (SUI)",01.09,1172
10.11,+0.4,James DASAOLU,87,GBR,F2,1,"Stadio Olimpico, Roma (ITA)",02.06,1169
